epoch;acc;loss;val_acc;val_loss
0;0,029960317465047986;3,589341811074151;0,03379629630181524;3,5734238384388113
1;0,036626984129349394;3,5663767139495364;0,06138888888888889;3,555680378454703
2;0,04545634920634921;3,5397853127736894;0,1060648148368906;3,521935420566135
3;0,06492063493009598;3,482538025871156;0,21541666668874246;3,4383042307253238
4;0,10702380952380952;3,3442045139131094;0,3592129630071145;3,199091883412114
5;0,17805555557447766;3,046578952395727;0,4408796297179328;2,72939593774301
6;0,26009920634920636;2,7022166190071712;0,5325000001766064;2,322305244516443
7;0,33464285718070136;2,418569800664508;0,5702314816580878;2,0349023536399558
8;0,39898809525701734;2,1930777722313293;0,6156944444444444;1,814661065030981
9;0,45319444444444446;2,006750043081859;0,660092592769199;1,6390684136637934
10;0,4966865080121964;1,8564009676282367;0,6831944445327476;1,5114991788510923
11;0,5371230159487043;1,7216753594080607;0,7081944444444445;1,391586677763197
12;0,569047619047619;1,6242514956186689;0,7285185186068217;1,3091350226932101
13;0,595297619047619;1,5295799767024933;0,7450925925925926;1,2368057803754453
14;0,6154960317460317;1,4636235777537028;0,7574537037037037;1,1814801618787978
15;0,6371825396825397;1,4015932043771895;0,768287037037037;1,1349111913751673
16;0,654702380952381;1,3464099043134659;0,7778240741623772;1,0943174351586236
17;0,6639285714664156;1,307955108067346;0,7863425927691989;1,061122022204929
18;0,6755753969010853;1,2654033183294628;0,7919444446210508;1,0316241324389421
19;0,6890277777777778;1,231496133577256;0,7934722223988285;1,0068029707449453
20;0,6965476190854633;1,2049408418413192;0,8002777777777778;0,9811612546002423
21;0,7058134920634921;1,1756683491146753;0,8023611111111111;0,9641837911252622
22;0,7136111111867995;1,1520819043356274;0,8066666667549699;0,9396040347770408
23;0,7186904762661647;1,129840829031808;0,8088425927691989;0,924632543987698
24;0,7235714286092728;1,1105397793981764;0,8124537037037037;0,9096484473899559
25;0,7312500000756884;1,0891623332765368;0,8153240741623773;0,8894456164042155
26;0,7354563492063492;1,075082293654245;0,8186574074957106;0,87873729829435
27;0,7409126984883868;1,0540586127175224;0,818888888977192;0,8700964784622193
28;0,7452380953137837;1,0425867777022104;0,8207407408290439;0,8543953960913199
29;0,7499404761904762;1,0295839692675879;0,8231018518518518;0,845123572172942
30;0,7550396825396826;1,0115759607345338;0,8252314815697847;0,834986266736631
31;0,7568650793650794;0,999562215842898;0,8267129630512662;0,8211837353529754
32;0,7624404762661646;0,9852505970758105;0,828564814903118;0,8113804404823869
33;0,7672222222222222;0,9719308853906299;0,829490740829044;0,8034002206943653
34;0,7650793651172093;0,9721475914546421;0,8312500000883032;0,7964117669176173
35;0,7701984126984127;0,95575951038845;0,8326388890654952;0,7906102399472837
36;0,7713690476568918;0,9527578043937683;0,8331018519401551;0,7849489911397298
37;0,7742063492820377;0,9410293259696355;0,8342592592592593;0,7745134328912806
38;0,7751984127362569;0,9323115226957533;0,835879629806236;0,7702707841661242
39;0,7817261905518789;0,9224944364078461;0,8369907407407408;0,7636952442593045
40;0,782619047694736;0,9152116490924169;0,8378703705469768;0,7587834095954895
41;0,7856349206349207;0,9053028650889321;0,8390277779543841;0,7547870740184077
42;0,7855952381330823;0,902902458433121;0,839629629806236;0,7488809811627424
43;0,7875198413455297;0,8895266042815314;0,8409722223988286;0,743754060709918
44;0,7902976191233075;0,8865156367846898;0,8417592594358656;0,7386750211539092
45;0,7918849207106091;0,8791555170028929;0,8423148149914211;0,7327275255874351
46;0,7934325397582281;0,874840142878275;0,8429629631395693;0,7324905964180275
47;0,793968253968254;0,8691846269652957;0,8441203704586735;0,7270127252296165
48;0,7981349206349206;0,8627890742771209;0,8443981482364513;0,7225556363882842
49;0,7977380953137837;0,8586134130614145;0,8446296297179328;0,7195050099160936
50;0,7998214286092727;0,851436100271013;0,8453703704586736;0,7138674471996449
51;0,801369047694736;0,8448781972082834;0,8461574074957106;0,7121865984245583
52;0,8025595238473681;0,8413239727323018;0,8474537037920069;0,7060627953211467
53;0,8044246031746032;0,8386204229839265;0,8462500000883032;0,706328929177037
